"mfr_id","user_id","city_name","mfr_distance","start_point_lng","start_point_lat","end_point_lng","end_point_lat","start_type","end_type","walk","bike","bus","car_pooling","car","motorbike","frequency","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_time","end_time","created_at","deleted_at"
NULL,2460,"Helsinki",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
967,808,"Palermo",1,13.3525436,38.1287982,13.3620619,38.1203771,1,4,20,100,30,0,10,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-02-17 22:45:51.711284",NULL
1834,1518,"Palermo",2,13.3569703996306,38.1172052817774,13.3503726683681,38.1326284446177,1,2,0,10000,0,0,0,0,1,true,true,true,true,true,false,false,"9:00","17:00","2019-05-14 08:05:45.792942",NULL
3885,4708,"Roma",0,12.3844205,41.7912533,12.3871852,41.791745,1,2,10000,0,10000,0,0,0,5,true,true,true,true,true,false,false,"5:52","5:52","2019-10-30 04:55:54.04566",NULL
NULL,4488,"Fundão",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,4867,"Teresina",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
681,597,"Palermo",1,13.3475714,38.1437829,13.334456,38.1502286,1,2,0,0,0,0,0,100,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2018-12-11 14:36:54.455158",NULL
2126,1719,"Palermo",1,13.3408595946501,38.1274635746981,13.3500812,38.1382504,1,0,7000,7000,0,0,0,0,1,false,false,true,false,false,false,false,"9:00","10:10","2019-05-22 05:41:15.858731",NULL
3419,3941,"Barcelona",26,2.2907402,41.6047855,2.1440997,41.398066,1,2,3000,0,1000,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-09-25 18:43:08.042017",NULL
NULL,3561,"Gent",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2446,"Helsinki",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3619,4440,"Oostende",2,2.9436011,51.2318974,2.9206147,51.2279047,1,2,0,10000,0,0,0,0,1,true,true,false,true,true,false,false,"9:00","17:53","2019-10-11 19:55:15.254833",NULL
1709,794,"Palermo",2,13.3620619,38.1203771,13.3644373,38.1057157,2,1,10000,0,0,0,0,0,1,true,true,true,true,true,false,false,"16:24","17:32","2019-05-03 06:02:28.240316",NULL
846,708,"Torino",0,7.6827627,45.0752027,7.6827634,45.0751872,1,2,0,6000,3000,0,3000,8000,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-01-22 07:16:42.94667",NULL
